NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
468	4.442	24.579	2.23	21.036	0.097	0.976	4000.0
469	3.798	21.183	1.809	16.293	0.104	0.983	2000.0
470	4.83	27.034	2.426	22.593	0.118	0.977	2000.0
471	3.855	21.776	1.91	16.939	0.09	0.983	7000.0
472	4.439	25.448	2.055	19.118	0.108	0.98	5000.0
473	4.214	23.784	2.13	19.323	0.099	0.982	10000.0
474	3.347	18.394	1.642	14.986	0.092	0.987	4000.0
475	4.354	24.795	2.011	18.652	0.119	0.981	5000.0
476	3.764	20.896	1.824	17.241	0.094	0.982	2000.0
477	3.528	19.697	1.906	17.189	0.094	0.983	5000.0
478	3.142	17.771	1.59	14.586	0.087	0.986	5000.0
479	2.372	13.198	1.167	10.44	0.046	0.994	2000.0
480	4.134	23.372	2.059	18.85	0.087	0.98	4000.0
481	4.231	23.81	2.104	21.284	0.098	0.974	4000.0
482	4.654	26.302	2.288	21.67	0.103	0.976	3000.0
483	3.354	18.707	1.464	12.428	0.085	0.992	2000.0
484	3.026	16.597	1.313	12.06	0.084	0.991	5000.0
485	3.455	19.677	1.725	15.691	0.075	0.99	2000.0
486	4.285	23.937	2.21	20.197	0.1	0.974	3000.0
487	3.88	21.539	1.991	18.241	0.083	0.982	7000.0
488	4.354	24.507	2.216	19.937	0.091	0.974	3000.0
489	4.925	28.524	2.338	22.482	0.121	0.968	2000.0
490	4.12	23.366	1.954	17.174	0.093	0.985	3000.0
491	2.692	15.313	1.179	10.56	0.073	0.994	8000.0
492	4.696	26.09	2.195	20.167	0.118	0.978	4000.0
493	3.797	21.156	1.898	16.553	0.081	0.983	2000.0
494	4.578	25.427	2.379	20.947	0.089	0.976	4000.0
495	5.129	28.475	2.678	23.295	0.109	0.964	2000.0
496	4.512	24.944	2.119	19.618	0.102	0.982	2000.0
497	3.533	20.102	1.734	15.61	0.068	0.986	2000.0
498	4.664	25.823	2.362	21.495	0.094	0.974	2000.0
499	2.635	14.892	1.339	11.424	0.075	0.992	4000.0
500	3.452	19.508	1.628	14.732	0.09	0.99	3000.0
